Club,Position,Age,Appearances,Wins,Losses,Shots,Shots on target,Big chances missed,Tackles,Interceptions,Clearances,Recoveries,Duels won,Duels lost,Passes,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Goals,Assists,Name
0,2,28.0,64,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783,0.0,0.0,2,0,0,0.0,0,0,Bernd Leno
0,2,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Matt Macey
0,2,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Rúnar Alex Rúnarsson
0,0,25.0,160,90,37,0.0,0.0,0.0,214.0,208.0,304.0,732.0,611.0,709.0,7125,28.0,389.0,23,0,125,8.0,7,18,Héctor Bellerín
0,0,23.0,16,7,5,0.0,0.0,0.0,21.0,12.0,32.0,63.0,55.0,38.0,519,1.0,45.0,2,0,9,0.0,1,1,Kieran Tierney
0,0,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,William Saliba
0,0,32.0,44,21,11,0.0,0.0,0.0,67.0,43.0,175.0,173.0,227.0,160.0,2416,4.0,1.0,18,0,56,1.0,3,2,Sokratis
0,0,25.0,41,25,9,0.0,0.0,0.0,50.0,54.0,170.0,192.0,176.0,142.0,2200,0.0,3.0,8,0,32,0.0,0,0,Rob Holding
0,0,28.0,99,52,26,0.0,0.0,0.0,197.0,195.0,531.0,455.0,670.0,416.0,5907,5.0,45.0,28,0,117,7.0,7,4,Shkodran Mustafi
0,0,25.0,139,47,57,0.0,0.0,0.0,257.0,247.0,537.0,735.0,703.0,619.0,5935,9.0,210.0,28,1,137,2.0,6,3,Calum Chambers
0,0,33.0,194,113,38,0.0,0.0,0.0,240.0,344.0,832.0,1042.0,846.0,680.0,10165,22.0,67.0,40,3,212,5.0,13,7,David Luiz
0,0,27.0,78,40,22,0.0,0.0,0.0,112.0,72.0,111.0,365.0,284.0,264.0,3201,18.0,123.0,12,0,74,16.0,2,11,Sead Kolasinac
0,0,22.0,2,2,0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,8.0,7.0,197,0.0,0.0,0,0,3,0.0,1,0,Gabriel Magalhães
0,3,31.0,184,100,39,205.0,92.0,26.0,161.0,75.0,37.0,778.0,625.0,744.0,11186,65.0,834.0,13,0,95,83.0,33,54,Mesut Özil
0,3,24.0,63,28,15,46.0,12.0,1.0,96.0,75.0,53.0,327.0,276.0,212.0,2493,3.0,40.0,14,1,62,0.0,3,3,Lucas Torreira
0,3,23.0,54,26,16,14.0,4.0,1.0,101.0,62.0,66.0,223.0,218.0,207.0,1867,4.0,57.0,6,2,35,1.0,1,3,Ainsley Maitland-Niles
0,3,28.0,47,29,10,44.0,5.0,2.0,57.0,41.0,41.0,211.0,109.0,107.0,2532,2.0,30.0,7,1,24,2.0,0,3,Mohamed Elneny
0,3,21.0,33,12,12,18.0,5.0,2.0,30.0,6.0,10.0,64.0,75.0,76.0,398,1.0,9.0,2,0,13,0.0,1,1,Joseph Willock
0,3,21.0,57,24,17,27.0,9.0,1.0,75.0,59.0,58.0,284.0,263.0,217.0,2750,4.0,21.0,15,0,41,0.0,0,1,Matteo Guendouzi
0,3,20.0,2,0,1,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,4.0,35,0.0,1.0,0,0,0,0.0,0,0,Emile Smith Rowe
0,3,27.0,132,70,33,144.0,41.0,1.0,254.0,133.0,208.0,885.0,650.0,607.0,9739,12.0,274.0,35,2,196,2.0,8,13,Granit Xhaka
0,3,19.0,28,11,7,15.0,4.0,1.0,36.0,12.0,12.0,0.0,0.0,0.0,716,6.0,69.0,6,0,22,13.0,1,5,Bukayo Saka
0,3,24.0,26,14,6,14.0,3.0,0.0,49.0,37.0,14.0,163.0,127.0,129.0,1372,2.0,71.0,1,0,21,0.0,0,3,Dani Ceballos
0,1,29.0,99,46,28,204.0,93.0,31.0,92.0,30.0,49.0,0.0,0.0,0.0,2045,15.0,60.0,11,0,127,62.0,39,16,Alexandre Lacazette
0,1,31.0,87,43,25,222.0,105.0,39.0,58.0,25.0,38.0,0.0,0.0,0.0,1880,17.0,155.0,4,1,30,55.0,55,13,Pierre-Emerick Aubameyang
0,1,25.0,33,15,9,51.0,18.0,2.0,32.0,8.0,4.0,0.0,0.0,0.0,723,8.0,113.0,4,0,14,4.0,5,6,Nicolas Pépé
0,1,20.0,20,10,5,13.0,4.0,0.0,15.0,6.0,2.0,0.0,0.0,0.0,286,0.0,25.0,1,0,8,4.0,1,0,Reiss Nelson
0,1,21.0,23,12,8,20.0,8.0,3.0,9.0,2.0,6.0,0.0,0.0,0.0,172,1.0,1.0,0,1,18,5.0,4,0,Eddie Nketiah
0,1,19.0,14,3,3,12.0,5.0,1.0,20.0,3.0,5.0,34.0,46.0,92.0,116,0.0,22.0,1,0,9,2.0,3,0,Gabriel Martinelli
0,1,32.0,236,137,47,393.0,145.0,20.0,246.0,100.0,54.0,0.0,0.0,0.0,8290,51.0,1009.0,21,1,131,33.0,37,35,Willian
1,2,34.0,116,34,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290,0.0,0.0,5,0,2,0.0,0,0,Tom Heaton
1,2,28.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0,0,0,0.0,0,0,Jed Steer
1,2,30.0,7,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,0,0,0,0.0,0,0,Ørjan Nyland
1,2,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Lovre Kalinic
1,2,28.0,16,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397,0.0,0.0,2,0,1,0.0,0,0,Emiliano Martínez
1,0,31.0,145,48,62,0.0,0.0,0.0,266.0,241.0,350.0,614.0,493.0,454.0,5491,6.0,255.0,21,0,121,3.0,0,5,Neil Taylor
1,0,22.0,26,8,12,0.0,0.0,0.0,19.0,27.0,70.0,106.0,116.0,81.0,810,2.0,13.0,3,0,17,1.0,2,2,Ezri Konsa Ngoyo
1,0,25.0,72,24,28,0.0,0.0,0.0,122.0,124.0,156.0,297.0,274.0,239.0,2240,13.0,250.0,8,0,41,2.0,2,6,Matt Targett
1,0,26.0,17,3,12,0.0,0.0,0.0,11.0,28.0,85.0,53.0,71.0,39.0,647,0.0,2.0,1,0,5,1.0,1,0,Björn Engels
1,0,25.0,25,7,13,0.0,0.0,0.0,74.0,49.0,62.0,104.0,164.0,172.0,749,1.0,91.0,7,0,36,2.0,0,2,Frédéric Guilbert
1,0,33.0,183,48,91,0.0,0.0,0.0,267.0,246.0,342.0,909.0,960.0,866.0,6628,19.0,916.0,12,1,152,13.0,6,13,Ahmed El Mohamady
1,0,25.0,18,3,11,20.0,3.0,3.0,21.0,20.0,94.0,109.0,138.0,77.0,799,1.0,0.0,3,0,24,1.0,1,0,Kortney Hause
1,0,27.0,51,13,27,0.0,0.0,0.0,30.0,49.0,253.0,270.0,162.0,113.0,1961,2.0,10.0,8,0,30,2.0,2,3,Tyrone Mings
1,0,23.0,1,1,0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,1.0,2.0,56,0.0,6.0,1,0,0,0.0,0,0,Matthew Cash
1,3,22.0,37,10,20,41.0,13.0,2.0,46.0,36.0,47.0,211.0,150.0,163.0,1300,3.0,25.0,8,0,51,0.0,3,2,Douglas Luiz
1,3,25.0,29,7,15,57.0,20.0,4.0,53.0,26.0,15.0,157.0,193.0,185.0,759,3.0,67.0,4,0,38,0.0,3,3,John McGinn
1,3,29.0,13,4,8,3.0,0.0,0.0,7.0,1.0,2.0,14.0,10.0,16.0,115,0.0,2.0,1,0,5,1.0,0,0,Henri Lansbury
1,3,25.0,71,17,42,105.0,32.0,6.0,45.0,44.0,17.0,293.0,419.0,293.0,2098,12.0,202.0,9,0,47,6.0,9,7,Jack Grealish
1,3,26.0,29,7,16,7.0,1.0,0.0,55.0,39.0,32.0,155.0,115.0,110.0,782,0.0,4.0,5,0,26,0.0,0,0,Marvelous Nakamba
1,3,29.0,28,8,13,30.0,10.0,1.0,16.0,9.0,27.0,73.0,54.0,50.0,665,8.0,124.0,4,0,15,4.0,3,5,Conor Hourihane
1,3,25.0,35,9,19,52.0,17.0,3.0,40.0,27.0,14.0,80.0,134.0,175.0,388,0.0,73.0,2,1,39,6.0,6,1,Trézéguet
1,3,25.0,34,7,19,52.0,20.0,7.0,20.0,13.0,12.0,75.0,97.0,151.0,479,4.0,107.0,3,0,20,12.0,4,4,Anwar El Ghazi
1,3,29.0,10,2,7,6.0,1.0,0.0,3.0,3.0,5.0,26.0,13.0,25.0,93,1.0,2.0,0,0,6,0.0,0,1,Jota
1,3,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Jacob Ramsey
1,1,23.0,21,6,12,35.0,18.0,5.0,15.0,4.0,23.0,0.0,0.0,0.0,367,1.0,7.0,3,0,43,14.0,5,1,Wesley
1,1,22.0,19,4,9,17.0,5.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,149,0.0,3.0,0,0,12,3.0,0,0,Keinan Davis
1,1,24.0,1,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0,0,2,1.0,0,0,Ollie Watkins
1,1,25.0,10,2,4,17.0,6.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,136,1.0,3.0,0,0,3,5.0,2,1,Bertrand Traoré
2,2,28.0,112,27,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3272,0.0,0.0,2,0,2,0.0,0,0,Mat Ryan
2,2,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Jason Steele
2,2,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Christian Walton
2,2,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Robert Sánchez
2,0,22.0,2,1,1,0.0,0.0,0.0,2.0,2.0,2.0,5.0,8.0,5.0,101,0.0,1.0,0,0,2,0.0,0,0,Ben White
